_id,id,name,start_neighborhood,end_neighborhood,built,year_rehab,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
131,1794040291,Unnamed Way Pedestrian Bridge,Hays,,1985,1985,https://tools.wprdc.org/images/pittsburgh/bridges/Unnamed_Way_Pedestrian_Bridge.jpg,Hays,5,31,42003562900,3,31,4,4-20,40.38335587,-79.9333586
61,820475036,Herr's Island Bridge,Troy Hill,,1986,1986,,Troy Hill,1,24,42003240600,6,24,1,1-1,40.46386545,-79.97888605
17,100374440,Bloomfield Bridge,Bloomfield,,1986,1986,https://tools.wprdc.org/images/pittsburgh/bridges/Bloomfield_Bridge.jpg,Lower Lawrenceville,7,8,42003060300,2,8,2,3-1,40.46128768,-79.95508873
15,916357398,Bigelow Boulevard Pedestrian Bridge,Polish Hill,,1986,1986,https://tools.wprdc.org/images/pittsburgh/bridges/Bigelow_Boulevard_Pedestrian_Bridge.jpg,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45875434,-79.95769542
16,1653197563,Bigelow Boulevard Underpass,Polish Hill,North Oakland,1986,1986,,Polish Hill,6,5,42003060500,3,5,4,2-6,40.45879414,-79.95740575
36,1019718164,East Street Service Bridge,Summer Hill,Perry North,1986,1986,https://tools.wprdc.org/images/pittsburgh/bridges/East_Street_Service_Bridge.jpg,Summer Hill,1,26,42003261200,1,26,1,1-15,40.48310099,-80.00768151
51,2061579920,Finland Street Pedestrian Bridge,Polish Hill,,1986,1986,https://tools.wprdc.org/images/pittsburgh/bridges/Finland_Street_Pedestrian_Bridge.jpg,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45799107,-79.96047386
84,1982940391,Milroy Street Bridge,Northview Heights,Perry North,1986,1986,https://tools.wprdc.org/images/pittsburgh/bridges/Milroy_Street_Bridge.jpg,Northview Heights,1,26,42003260900,1,26,1,1-13,40.47671875,-80.0076824
97,1407799522,Pennsylvania Avenue Bridge,Central Northside,California-Kirkbride,1986,1986,https://tools.wprdc.org/images/pittsburgh/bridges/Pennsylvania_Avenue_Bridge.jpg,California-Kirkbride,1,25,42003220600,1,25,1,1-9,40.45561007,-80.01796376
91,1701028337,North Avenue Bridge,East Allegheny,,1987,1987,https://tools.wprdc.org/images/pittsburgh/bridges/North_Avenue_Bridge.jpg,East Allegheny,1,23,42003563200,1,23,1,1-5,40.4570836,-79.99835192
105,683085715,Ramp Q Bridge,East Allegheny,,1987,2001,https://tools.wprdc.org/images/pittsburgh/bridges/Ramp_Q_Bridge.jpg,East Allegheny,1,23,42003563200,1,23,1,1-24,40.45855392,-79.99877855
