_id,id,name,street,to_street,year_constructed,public_view,inactive,height,length,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
63,1629438152,Bessie St from Sunset Ave,BESSIE AVE,,,True,False,,120.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Bessie_St_from_Sunset_Ave.jpg,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46933847,-79.99953099
64,815411932,Bigbee Field,BIGBEE ST,,,True,False,,250.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Bigbee_Field.jpg,Allentown,3,18,42003180300,4,18,3,4-5,40.42776599,-80.00122206
262,881539592,N Charles St 1,N CHARLES ST,HAZELTON AVE,,True,False,,335.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/N_Charles_St_1.jpg,Perry South,6,26,42003261500,1,26,1,1-23,40.47119314,-80.00791244
65,283019463,Boggs Ave at Southern Ave,BOGGS AVE,,1930,True,False,9.0,200.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Boggs_Ave_at_Southern_Ave.jpg,Mount Washington,4,19,42003191500,5,19,3,4-27,40.41622106,-80.01328431
57,816522552,Beelen St,BEELEN ST,,1930,True,False,4.5,55.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Beelen_St.jpg,West Oakland,6,4,42003040200,3,4,4,2-1,40.43811227,-79.97254059
66,1206961834,Boggston Ave,BOGGSTON AVE,,1975,True,False,14.0,270.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Boggston_Ave.jpg,Beltzhoover,3,18,42003191500,4,18,3,4-16,40.41983146,-80.00828173
67,281114736,Boustead St,BOUSTEAD ST,,1957,True,False,3.5,122.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Boustead_St.jpg,Beechview,2,20,42003192000,5,20,6,4-28,40.40503571,-80.03320642
257,2131458429,Mt Washington Park 1,NORTON ST,,,True,False,,420.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Mt_Washington_Park_1.jpg,Mount Washington,2,19,42003191400,5,19,3,4-27,40.42448113,-80.01473236
68,313812081,Brackenridge St 2,BRACKENRIDGE ST,,,True,False,,285.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Brackenridge_St_2.jpg,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44470262,-79.97078728
69,337349801,Brackenridge St 3,BRACKENRIDGE ST,,,True,False,,205.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Brackenridge_St_3.jpg,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44459183,-79.97096376
